#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
String_the_Procession_of_Pox;the Procession of Pox;les Porteurs de la Peste;Seuchenbringer;;los pandemonios;;;;;;;;;x
String_the_Ghost_Gatherers;the Ghost Gatherers;les Adeptes de Kâli Purusha;Kult der Kali Purusha;;los adoradores de Kali Purusha;;;;;;;;;x
String_the_Underworld_Triad;the Underworld Triad;les Faiseurs de Trolls;Trollhexer;;los adoradores de troles;;;;;;;;;x
String_the_Sacrificers;the Sacrificers;les Sangs Froids;Kalte;;los fríos;;;;;;;;;x
string_black_shaman;black shaman;chaman noir;schwarzer Schamane;;chamán negro;;;;;;;;;x


devil_worshipers_dark_healing;Dark Healing;Guérison démoniaque;Dunkle Heilung;;Curación oscura;;;;;;;;;x
String_Glory_to_the_Black_God;Glory to the Black God!;Gloire au Dieu des Ténèbres !;Gelobt sei der Schwarze Gott!;;¡Gloria al dios oscuro!;;;;;;;;;x
String_Glory_to_the_God_of_Death;Glory to the God of Death!;Gloire au Dieu de la Mort !;Gelobt sei der Gott des Todes!;;¡Gloria al dios de la muerte!;;;;;;;;;x
String_Freyja;Freyja;Freyja;Freyja;;Freya;;;;;;;;;x
String_Freyja_Expression;Glory to Freyja!;Gloire à Freyja !;Gelobt sei Freyja!;;¡Gloria a Freya!;;;;;;;;;x
String_Iblis_Expression;Glory to Iblis!;Gloire à Iblis !;Gelobt sei Iblis!;;¡Gloria a Iblis!;;;;;;;;;x
String_Kali_Expression;Glory to the Lord of Kali Yuga!;Gloire au Seigneur du Kali Yuga !;Gelobt sei der Fürst von Kali-Yuga!;;¡Gloria al señor del Kali Yuga!;;;;;;;;;x
String_Satan_Expression;Glory to The Deceiver!;Gloire à l'Imposteur !;Gelobt sei der Schwindler!;;¡Gloria al Impostor!;;;;;;;;;x

#String_the_four_Purusartha;the Purusartha;le Purushartha;Purusartha;;los purushartha;;;;;;;;;x
String_the_Anuvrata;the Anuvrata;les Anuvratas;Anuvrata;;los anuvratas;;;;;;;;;x
String_dark_tantras;dark tantras;le tantra maléfique;Dunkle Tantras;;tantras oscuros;;;;;;;;;x
String_Glory_to_Freyja;Glory to Freyja!;Gloire à Freyja !;Gelobt sei Freyja!;;¡Gloria a Freya!;;;;;;;;;x
String_Glory_to_Shaitan;Glory to Shaitan!;Gloire à Iblis !;Gelobt sei Schaitan!;;¡Gloria a Shaitán!;;;;;;;;;x
String_Glory_to_the_Lord_of_Kali_Yuga;Glory to the Lord of Kali Yuga!;Gloire au Seigneur du Kali Yuga !;Gelobt sei der Fürst von Kali-Yuga!;;¡Gloria al señor del Kali Yuga!;;;;;;;;;x
String_Glory_to_the_Deceiver;Glory to the Deceiver!;Gloire à l'Imposteur !;Gelobt sei der Schwindler!;;¡Gloria al Impostor!;;;;;;;;;x
String_evil_spirit;Evil Spirit;Esprit maléfique;Böser Geist;;espíritu maligno;;;;;;;;;x
String_evil_spirits;Evil Spirits;Esprits maléfiques;Böse Geister;;espíritus malignos;;;;;;;;;x
String_seiðkona;seiðkona;seiðkona;Seiðkona;;seiðkona;;;;;;;;;x
String_seiðmaðr;seiðmaðr;seiðmaðr;Seiðmaðr;;seiðmaðr;;;;;;;;;x
String_dark_tantrik;dark tantrik;tantriste maléfique;Dunkler Tantriker;;tántrico oscuro;;;;;;;;;x


the_sacrificers_rank_1_female;Feet;Spækona;Spækona;;Spækona;;;;;;;;;x
the_sacrificers_rank_1_male;Feet;Spæmaðr;Spæmaðr;;Spæmaðr;;;;;;;;;x
the_sacrificers_rank_2_female;Arms;Vísendakona;Vísendakona;;Vísendakona;;;;;;;;;x
the_sacrificers_rank_2_male;Arms;Vísendamaðr;Vísendamaðr;;Vísendamaðr;;;;;;;;;x
the_sacrificers_rank_3_female;Shoulders;Seiðkona;Seiðkona;;Seiðkona;;;;;;;;;x
the_sacrificers_rank_3_male;Shoulders;Seiðmaðr;Seiðmaðr;;Seiðmaðr;;;;;;;;;x
the_sacrificers_rank_4_female;Head;Trollkona;Trollkona;;Trollkona;;;;;;;;;x
the_sacrificers_rank_4_male;Head;Trollmaðr;Trollmaðr;;Trollmaðr;;;;;;;;;x
the_sacrificers;The Sacrificers;Le Avant-garde de variole;Die Gefährten von Hel;;La hermandad de Hela;;;;;;;;;x
the_sacrificers_desc;The Sacrificers believe every day should start with a sacrifice. They engage in complex slaughter games that amuse their dark patrons... the champion winning, some say, eternal life.;.;Die Trollhexer sind eine geheime Gesellschaft, die von gläubigen Heiden missbilligt werden. Sie behaupten, Freyja gewähre ihnen Zugang zu alten Hexereien. Manche sagen, sie wären eigensüchtige Manipulanten und Intriganten, während andere wiederum sich vor den sie umgebenden Gerüchten über aufwendige Menschenopfer und unnatürliche Langlebigkeit fürchten ...;;Los adoradores de troles pertenecen a una hermandad secreta mal vista por los paganos. Afirman que Freya les permite usar la brujería antigua. Algunos tachan a sus miembros de egoístas, manipuladores e intrigantes, y otros los temen por los rumores que dicen que su longevidad sobrenatural se debe a los sacrificios humanos que celebran.;;;;;;;;;x
the_sacrificers_recruit;Recruit to the Sacrificers;Recruter pour la Confrérie de Hel;Für die Gefährten von Hel rekrutieren;;Reclutar para la hermandad de Hela;;;;;;;;;x
the_sacrificers_recruit_desc;Attempt to find out whether §Y[Root.GetTitledFirstName]§! is open to the power of the occult. If so, you may invite [Root.GetHerHim] to become a member of the Sacrificers.;Essayer de savoir si [Root.Get_le_Title]§Y[Root.GetTitledFirstName]§! est récepti[Root.GetFVe] aux puissances occultes. Si oui, vous pourrez l'inviter à devenir membre de la Confrérie de Hel.;Versuche herauszufinden, ob §Y[Root.GetTitledFirstName]§! empfänglich für die Macht des Okkulten ist. Falls dem so ist, könnt Ihr [Root.GetHerHim] in die Gefährten von Hel einladen.;;Averigua si a §Y[Root.GetTitledFirstName]§! le atraen las fuerzas ocultas. En caso afirmativo, puedes invitarlo/la a unirse a la hermandad de Hela.;;;;;;;;;x
the_sacrificers_recruit_block_tooltip;Has not been approached by the Sacrificers before.;N'a pas déjà été approché par la Confrérie de Hel.;Wurde noch nicht von den Gefährten von Hel kontaktiert.;;Nunca ha tenido contacto con la hermandad de Hela.;;;;;;;;;x
the_sacrificers_leader_desc;The head of the Cult of Sacrifice.;Le Brahminrakshasa du Culte de Kâli Purusha.;Der Brahminrakshasa des Kults der Kali Purusha.;;El brahminrakshasa de los adoradores de Kali Purusha.;;;;;;;;;x
the_sacrificers_currency;Bloodlust;;;;;;;;;;;;;x
currency_name_the_sacrificers;Bloodlust;;;;;;;;;;;;;x


the_underworld_triad_rank_1_Black Lanterns;Uchenik;Uchenik;Uchenik;;Uchenik;;;;;;;;;x
the_underworld_triad_rank_1_male;Black lanterns;Uchenik;Uchenik;;Uchenik;;;;;;;;;x
the_underworld_triad_rank_2_female;White paper fan;Zhritsa;Zhritsa;;Zhritsa;;;;;;;;;x
the_underworld_triad_rank_2_male;Red pole;Zhrets;Zhrets;;Zhrets;;;;;;;;;x
